State,AdultAsthmaPrev,StateAbbrev,Diabetes2010,CancerRateageadjusted2009,Births,TotalPopulation,BirthRateper1000for2010,NumDeaths2011,CrudeDeathRate2011,AgeAdjustedDeathRate2011,NumDeaths2010,CrudeDeathRatePer100Kfor2010,AgeAdjustedDeathRate2010
Alabama,11.8,AL,13.2,487.6,60050,4779736,12.56,48683,1013.7,933.7,48038,1005,939.7
Alaska,14.4,AK,5.3,468.6,11471,710231,16.15,3849,532.6,747.9,3728,524.9,771.5
Arizona,15.6,AZ,9,401.6,87477,6392017,13.69,48381,746.3,688.9,46762,731.6,693.1
Arkansas,13.6,AR,9.6,439.6,38540,2915918,13.22,29632,1008.6,894.6,28916,991.7,892.7
California,12.6,CA,8.6,450.2,510198,37253956,13.7,238993,634.1,638.8,234012,628.2,646.7
Colorado,14.7,CO,6,446.5,66355,5029196,13.19,32563,636.4,677.8,31465,625.6,682.7
Connecticut,15.3,CT,7.3,535.9,37708,3574097,10.55,29548,825.2,660.9,28692,802.8,652.9
Delaware,15.1,DE,8.7,526.2,11364,897934,12.66,7840,864.3,763.4,7706,858.2,769.9
DistrictofColumbia,16,DC,8.3,459.9,9165,601723,15.23,4589,742.6,756,4672,776.4,792.4
Florida,13.8,FL,10.4,455.6,214590,18801310,11.41,173961,912.8,677.1,173791,924.4,701.1
Georgia,11.5,GA,9.7,478.2,133947,9687653,13.83,70401,717.3,806.2,71263,735.6,845.4
Hawaii,17.6,HI,8.3,473.2,18988,1360301,13.96,9921,721.6,584.8,9617,707,589.6
Idaho,13.6,ID,7.9,466.2,23198,1567582,14.8,12026,758.7,744.9,11429,729.1,731.6
Illinois,13.6,IL,8.7,497.6,165200,12830632,12.88,101898,791.8,737.3,99931,778.8,736.9
Indiana,14.2,IN,9.8,458.2,83940,6483802,12.95,58195,893,825,56743,875.2,820.6
Iowa,11.6,IA,7.5,509.3,38719,3046355,12.71,28184,920.4,722.7,27745,910.8,721.7
Kansas,13.2,KS,8.4,478.3,40649,2853118,14.25,25119,874.8,767.2,24502,858.8,762.2
Kentucky,14.9,KY,10,521.9,55784,4339367,12.86,42624,975.5,910.3,41983,967.5,915
Louisiana,11.6,LA,10.3,508.7,62379,4533372,13.76,40680,889.2,882.1,40667,897.1,903.8
Maine,15.7,ME,8.7,514.3,12970,1328361,9.76,13031,981.1,749.5,12750,959.8,749.6
Maryland,12.4,MD,9.3,456.1,73801,5773552,12.78,43750,750.6,715.9,43325,750.4,728.6
Massachusetts,15.3,MA,7.4,501,72865,6547629,11.13,53699,815.2,676.1,52583,803.1,675
Michigan,15.8,MI,10.1,489.7,114531,9883640,11.59,89496,906.2,784.2,88021,890.6,786.2
Minnesota,10.9,MN,6.7,492.8,68610,5303925,12.94,39822,745.1,659.2,38972,734.8,661.5
Mississippi,11.6,MS,12.4,488.7,40036,2967297,13.49,29278,983,956.2,28965,976.1,962
Missouri,14.2,MO,9.4,475.8,76759,5988927,12.82,55813,928.6,811.4,55281,923.1,819.5
Montana,12.9,MT,7,479.4,12060,989415,12.19,9117,913.3,760.7,8827,892.1,754.7
Nebraska,12.2,NE,7.7,461.9,25918,1826341,14.19,15477,839.9,719.8,15171,830.7,717.8
Nevada,14.5,NV,8.5,471.5,35934,2700551,13.31,20340,746.9,789.6,19623,726.6,795.4
NewHampshire,15,NH,7.9,501,12874,1316470,9.78,10821,820.9,710,10201,774.9,690.4
NewJersey,13.3,NJ,9.2,510.2,106922,8791894,12.16,70553,799.8,690.6,69495,790.4,691.1
NewMexico,14.6,NM,8.5,421.6,27850,2059179,13.52,16434,789.3,748,15931,773.7,749
NewYork,14.7,NY,8.9,517.4,244375,19378102,12.61,148903,765,664.2,146432,755.7,665.5
NorthCarolina,12.6,NC,9.8,496.8,122350,9535483,12.83,79875,827.2,790.8,78773,826.1,804.9
NorthDakota,10.6,ND,7.4,477.8,9104,672591,13.54,5964,872,697.3,5944,883.7,704.3
Ohio,13.8,OH,10.1,462.5,139128,11536504,12.06,111444,965.3,822,108711,942.3,815.7
Oklahoma,14.2,OK,10.4,479.6,53238,3751351,14.19,37142,979.6,910.1,36529,973.8,915.5
Oregon,16.2,OR,7.2,465.9,45540,3831074,11.89,32786,846.8,724.1,31890,832.4,723.1
Pennsylvania,13.8,PA,10.3,516.2,143321,12702379,11.28,128290,1006.8,776.1,124596,980.9,765.9
RhodeIsland,16.7,RI,7.8,517,11177,1052567,10.62,9585,911.7,707.6,9579,910.1,721.7
SouthCarolina,12.9,SC,10.7,444.9,58342,4625364,12.61,42093,899.6,839.9,41614,899.7,854.8
SouthDakota,11.6,SD,6.9,429.8,11811,814180,14.51,7313,887.4,720.4,7100,872,715.1
Tennessee,9.3,TN,11.3,492.3,79495,6346105,12.53,60544,945.5,879.1,59578,938.8,890.8
Texas,12.8,TX,9.7,448.6,386118,25145561,15.36,168643,656.8,751.6,166527,662.3,772.3
Utah,14.3,UT,6.5,403.5,52258,2763885,18.91,15265,541.8,699,14776,534.6,703.2
Vermont,17.2,VT,6.8,501.6,6223,625741,9.95,5434,867.5,711,5380,859.8,718.7
Virginia,12.9,VA,8.7,453.6,103002,8001024,12.87,60807,751,741.6,59032,737.8,741.6
Washington,15.8,WA,7.6,504.1,86539,6724540,12.87,49692,727.6,690.4,48146,716,692.3
WestVirginia,10.7,WV,11.7,483.1,20470,1852994,11.05,21868,1178.6,953.3,21275,1148.1,933.6
Wisconsin,12.8,WI,7.1,-1,68487,5686986,12.04,48419,847.7,721.3,47308,831.9,719
Wyoming,14.7,WY,7.2,447.9,7556,563626,13.41,4387,772.1,754.6,4438,787.4,778.8
